,epoch,train_loss,val_loss
0,0,0.005723871700438351,0.005016186682211643
1,1,0.004731265231058334,0.004685381137161864
2,2,0.004505992409734968,0.0043507851322276215
3,3,0.004394907443234492,0.004386223559330685
4,4,0.004330333168906959,0.004249857063045577
5,5,0.004284899484092383,0.004487706249385186
6,6,0.004239434722273843,0.0041339124488453775
7,7,0.004211992863242839,0.00437791868553836
8,8,0.004177371933778465,0.004141778729385256
9,9,0.0041621535032877605,0.00412465478025143
10,10,0.004136240041522428,0.004191496238590798
11,11,0.00412150584176645,0.004074530968928723
12,12,0.004108659746166829,0.004364533317475837
13,13,0.004095493154000167,0.004047864901448564
14,14,0.004078507082314535,0.0040920691557344785
15,15,0.004069291496122949,0.004381847856728289
16,16,0.00405336476867868,0.004145231469157368
17,17,0.004047454336138892,0.004202482539849372
18,18,0.004034825443795936,0.004213902667533843
19,19,0.004023884021584783,0.00419724250660699
20,20,0.00402024489876688,0.0041801536869929615
21,21,0.004012286544045303,0.0041995359393910735
22,22,0.004005608544432193,0.004376440000251036
23,23,0.003999498502100374,0.003978461827822841
24,24,0.00399211368700239,0.004039279702109901
25,25,0.003980414562387174,0.004175971525542735
26,26,0.003974014418514291,0.003977649169600231
27,27,0.003967487642896289,0.003944069094438495
28,28,0.003967794711848382,0.004095337002928253
29,29,0.003966355960851573,0.003949560120120025
30,30,0.003957732066737165,0.004074475981223295
31,31,0.003950415050862748,0.004117506938123687
32,32,0.003950264804468189,0.004296280304995091
33,33,0.003944752133087182,0.0040826080370508855
34,34,0.003935989970580626,0.003920748947021522
35,35,0.0039387537502780096,0.004199511883315945
36,36,0.00393687732376503,0.004096134774842463
37,37,0.003928192318644114,0.004021930808797923
38,38,0.003924336574410747,0.004274494564078016
39,39,0.003925116366372559,0.0039103160925284056
40,40,0.003924599421158875,0.0043754980811069695
41,41,0.003916412849682668,0.003983749853048022
42,42,0.00391190499637595,0.003943642634233857
43,43,0.0039055564223241766,0.0039878699378189985
44,44,0.003907423616322636,0.0039233514332750324
45,45,0.0039056381353699404,0.0038803825610112495
46,46,0.0038988490177250825,0.004046756375172227
47,47,0.0039026623212565343,0.003970958560726594
48,48,0.003898325972955285,0.003930490044412518
49,49,0.003894063379916414,0.003931584026688509
50,50,0.0038918724588381244,0.003911329067396682
51,51,0.0038925633008459236,0.0039051597398993263
52,52,0.003887497085923388,0.004110563742776196
53,53,0.0038853407171894417,0.004036640165172285
54,54,0.003877307717289895,0.003930759421283321
55,55,0.003882899397299461,0.003915673293233008
56,56,0.0038745950690879517,0.003909392620441265
57,57,0.003874041897419824,0.003877494819372248
58,58,0.0038707418238422514,0.0038706309831971035
59,59,0.003868717846263054,0.0039029504717257428
60,60,0.0038643750438993357,0.003965535555687889
61,61,0.0038659193129565598,0.0038990575851187495
62,62,0.0038599769426364457,0.0039055081589153226
63,63,0.0038604796245872686,0.003881177329092994
