,epoch,train_loss,val_loss
0,0,0.10186321316009257,0.08397504728052019
1,1,0.07383103319375912,0.06817585295078761
2,2,0.06310685568382035,0.05982507971511567
3,3,0.05620705471563031,0.0567269149528176
4,4,0.05275170564504515,0.0527847616915336
5,5,0.05081862975920287,0.05384618053959991
6,6,0.049323697069944175,0.04956995399693025
7,7,0.0480142606670115,0.04834149140615813
8,8,0.04702284094311566,0.04836219425656733
9,9,0.04590251127039152,0.04732959747317793
10,10,0.04487354570038982,0.046653193803207725
11,11,0.04421690768557873,0.04565906021927689
12,12,0.04340404847251012,0.04497904393609892
13,13,0.04285625067185231,0.04496056203330073
14,14,0.04263135135318684,0.0432796763700355
15,15,0.04205963124857823,0.04390506501673169
16,16,0.04178308781035574,0.043875230535955
17,17,0.04120351969540233,0.044910390091144094
18,18,0.04099158676423849,0.04347919699569378
19,19,0.040508951561939247,0.04292391044021334
20,20,0.04033605148431228,0.04571976061953805
21,21,0.04004263385630955,0.04150090696718435
22,22,0.03981521812033153,0.040611431562829745
23,23,0.03966077981325486,0.041382250687043154
24,24,0.03920679997305793,0.04127812183181142
25,25,0.03902079625580459,0.04438608984247097
26,26,0.03870537131941257,0.04623715079075175
27,27,0.038571141430775335,0.040765007640556974
28,28,0.03853871251505083,0.04016118861587926
29,29,0.03835645988203604,0.03998255065852273
30,30,0.038162082407082396,0.04232139871357629
31,31,0.03789834127161419,0.040077552377613256
32,32,0.03768046290495338,0.04054242620308909
33,33,0.03768224876473798,0.03999363548230465
34,34,0.03738621652585188,0.039918050773572036
35,35,0.037121427378842074,0.03982337067343699
36,36,0.03705064979184781,0.04303343328954139
37,37,0.03693079876744144,0.038817730296030806
38,38,0.03669335949667862,0.03882724725224281
39,39,0.036585642304521986,0.03871118427424995
40,40,0.036661599020769486,0.03965803603539415
41,41,0.036243507832729664,0.039789240373568194
42,42,0.03641609292322044,0.03880628537518569
43,43,0.036158088702504726,0.0388770792524759
44,44,0.036065449806861785,0.044215220937539594
45,45,0.035937502146874946,0.04110729393137244
46,46,0.03585491540064717,0.03864160097145289
47,47,0.0356088315019402,0.0398514357369171
48,48,0.03556980110520764,0.038379513878994784
49,49,0.03551319476191562,0.03887456379987797
50,50,0.03534116427746272,0.039382153421102725
51,51,0.0353127805020504,0.03953543236643637
52,52,0.03531250829594007,0.03884352343294691
53,53,0.03513455496943537,0.03735272488871974
54,54,0.034927643856943504,0.03882298552348094
55,55,0.03503469556442286,0.03918926948652252
56,56,0.03485408845459685,0.04007419916174568
57,57,0.03472650378395095,0.03807491085611882
58,58,0.034611629334279866,0.038366849409397115
59,59,0.034650335037432374,0.04013841892398497
60,60,0.03455837198009731,0.039280940598634156
61,61,0.03452512097778373,0.03784692910817548
62,62,0.03433250029698913,0.04171199090269543
63,63,0.03456421208193593,0.037230951034437645
